Tamaño,Procesos,Focos,Iteración,Tiempo (ms),Tiempo (s)
10000x10000,1,1,41798,179921,179.921
10000x10000,1,3,21272,142998,142.998
10000x10000,1,5,20901,144665,144.665
15000x15000,1,1,27007,416053,416.053
15000x15000,1,3,26084,404277,404.277
15000x15000,1,5,25632,354356,354.356
20000x20000,1,1,38625,897012,897.012
20000x20000,1,3,38625,968238,968.238
20000x20000,1,5,38625,938723,938.723
10000x10000,2,1,41798,38104,38.104
10000x10000,2,3,21272,43974.4,43.9744
10000x10000,2,5,20901,42727.4,42.7274
15000x15000,2,1,27007,61496.2,61.4962
15000x15000,2,3,26084,85084.8,85.0848
15000x15000,2,5,25632,92790.9,92.7909
20000x20000,2,1,38625,130338,130.338
20000x20000,2,3,38625,157318,157.318
20000x20000,2,5,38625,150988,150.988
10000x10000,4,1,41798,33850.9,33.8509
10000x10000,4,3,21272,25878.8,25.8788
10000x10000,4,5,20901,26175.3,26.1753
15000x15000,4,1,27007,50285.4,50.2854
15000x15000,4,3,26084,62355.2,62.3552
15000x15000,4,5,25632,65947,65.947
20000x20000,4,1,38625,81963.1,81.9631
20000x20000,4,3,38625,93289.6,93.2896
20000x20000,4,5,38625,95869.2,95.8692
10000x10000,8,1,41798,23234.3,23.2343
10000x10000,8,3,21272,19248,19.248
10000x10000,8,5,20901,18354.9,18.3549
15000x15000,8,1,27007,39179.3,39.1793
15000x15000,8,3,26084,43034.3,43.0343
15000x15000,8,5,25632,44270.2,44.2702
20000x20000,8,1,38625,60394.4,60.3944
20000x20000,8,3,38625,71168.3,71.1683
20000x20000,8,5,38625,73212.4,73.2124
